CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.039,37.982,52.957,34.047,6.594,32.060,33.920,31.758,25.359
0.054,38.023,52.892,34.262,6.760,32.602,32.951,31.392,25.135
0.000,38.241,51.709,33.795,6.840,32.418,33.053,31.857,24.877
0.031,38.324,52.712,33.470,6.664,32.579,33.358,31.717,25.105
0.022,37.147,53.052,33.554,6.917,32.903,33.687,31.350,25.148
0.057,38.154,52.502,33.609,6.632,32.519,33.089,31.923,25.185
0.083,37.481,52.456,34.088,6.568,32.339,33.729,31.427,24.803
0.075,37.677,52.360,33.947,6.812,32.486,33.900,32.032,25.089
0.001,37.875,52.426,33.870,6.815,32.760,33.547,31.600,25.155
0.024,37.536,52.033,33.071,6.790,32.654,33.389,31.689,24.533
0.042,37.951,52.548,33.835,6.737,32.313,32.964,32.009,24.946
0.012,37.789,52.354,33.496,6.652,32.345,33.579,31.713,24.843
0.024,37.784,52.640,33.775,6.794,33.040,33.386,31.944,25.283
0.066,37.707,52.071,33.901,6.730,32.362,33.361,32.128,25.549
0.132,37.558,52.904,33.591,6.605,32.507,33.234,31.693,25.242
0.070,37.959,52.044,34.155,6.677,32.090,33.437,31.598,25.371
0.070,38.131,52.168,33.992,6.982,33.029,33.720,32.058,25.356
0.035,38.007,52.720,33.582,6.924,32.709,33.614,31.815,25.246
0.038,37.816,52.188,33.888,6.917,32.860,32.849,31.446,25.068
0.045,38.028,52.771,33.912,6.747,33.007,33.131,31.609,25.300
0.006,38.023,52.585,33.858,6.982,32.692,33.916,31.782,25.236
0.009,37.938,52.476,33.625,6.776,32.152,33.280,31.704,25.115
0.050,38.079,52.451,33.991,6.772,32.485,33.735,31.430,24.857
0.022,38.083,52.604,33.577,6.659,32.580,33.651,31.370,25.076
0.015,37.503,52.526,33.913,6.739,32.578,33.625,31.632,25.550
0.041,37.209,53.010,33.610,6.759,32.673,33.705,31.314,25.128
0.003,38.147,52.364,33.435,6.711,33.000,33.815,31.570,25.379
0.009,37.776,52.612,34.154,6.931,32.505,33.890,31.726,25.088
0.004,37.821,52.074,33.927,6.619,32.755,33.167,31.472,25.313
0.048,37.646,52.498,33.339,6.872,32.786,33.743,31.949,25.233
0.056,37.527,52.987,34.065,6.691,32.530,33.406,31.382,25.540
0.024,37.986,53.043,33.749,6.781,33.049,33.198,31.672,25.142
0.011,37.836,52.530,33.844,6.717,32.400,33.532,31.891,25.417
0.029,38.267,52.455,33.750,6.684,33.393,33.632,31.539,24.973
0.030,38.114,52.616,34.026,6.873,32.643,33.268,31.443,25.351
0.040,37.833,52.806,33.882,6.790,33.181,33.664,31.688,24.988
0.099,37.895,52.331,33.949,6.835,32.963,33.816,31.455,25.534
0.013,38.326,52.750,33.937,6.827,32.917,33.601,31.168,25.345
0.075,37.827,52.141,34.281,6.911,32.258,33.244,31.194,25.292
0.033,37.715,53.164,34.174,6.754,32.541,33.110,31.690,25.297
0.017,37.716,52.479,33.919,6.931,32.959,33.502,31.539,24.969
0.069,37.679,52.771,33.716,6.684,32.574,33.630,32.067,25.365
0.031,38.164,52.790,33.366,6.702,32.941,33.316,31.858,24.907
0.026,37.612,52.747,33.752,6.818,32.516,33.415,31.601,25.661
0.039,37.538,52.249,34.116,6.880,32.671,33.227,32.090,24.782
0.008,37.961,52.512,33.837,6.597,32.620,33.908,31.627,25.011
0.029,37.704,52.978,33.827,6.775,32.498,33.683,31.526,25.163
0.039,37.788,52.359,33.948,6.867,32.461,33.777,32.059,25.228
0.049,37.983,52.652,34.294,6.887,32.357,33.326,31.363,25.141
0.030,37.969,52.725,33.927,6.819,32.992,33.278,31.673,25.401
0.004,37.659,53.346,33.511,6.605,32.931,33.685,31.793,25.305
0.028,37.678,52.367,33.976,6.958,32.603,33.069,31.467,25.430
0.011,38.220,52.598,34.015,6.779,32.510,33.300,31.348,24.900
0.051,37.842,52.730,33.857,6.751,32.579,33.322,32.199,25.374
0.060,38.224,52.661,33.902,7.144,32.575,33.610,31.426,25.220
0.085,37.271,52.846,33.690,6.855,32.592,33.517,32.029,25.011
0.050,38.123,53.206,34.139,6.736,32.998,32.743,31.513,24.734
0.067,37.721,52.490,33.358,6.928,32.924,33.424,31.593,25.054
0.004,37.558,52.705,33.811,6.680,32.490,33.527,31.663,24.885
0.019,37.819,52.276,34.058,6.851,32.558,33.449,31.969,25.017
0.035,38.042,52.597,33.649,6.835,32.751,33.284,31.488,25.120
0.004,37.380,53.233,34.027,6.851,32.708,33.368,31.793,24.973
0.002,37.878,52.427,33.528,6.742,32.882,33.211,31.433,25.214
0.034,37.777,52.333,33.947,6.925,32.620,33.267,31.663,25.364
0.111,37.658,52.681,34.058,6.877,33.037,33.508,31.827,25.287
0.017,37.626,52.779,33.982,6.829,32.671,33.631,31.699,25.131
0.149,37.661,52.090,33.735,6.690,32.481,33.811,31.524,24.905
0.001,38.045,51.979,34.153,6.651,32.246,33.317,31.550,24.848
0.083,37.821,52.606,33.583,6.809,32.231,33.740,31.948,25.162
0.009,37.783,52.795,33.704,6.661,32.479,33.433,31.530,25.062
0.019,37.446,53.039,33.762,6.949,32.980,33.567,31.697,25.530
0.017,37.665,52.944,33.978,6.697,32.588,33.398,31.639,25.380
0.033,37.746,52.629,33.912,6.810,32.523,33.235,31.654,25.226
0.010,38.287,52.462,33.722,6.845,32.726,33.254,31.963,24.893
0.053,38.022,52.718,34.135,6.656,32.507,33.315,31.570,25.132
0.036,37.974,52.591,33.967,6.811,32.758,33.321,31.993,25.055
0.009,37.935,52.836,33.896,6.594,32.477,33.641,31.643,25.054
0.045,37.940,52.172,33.831,6.771,32.527,33.665,31.479,25.338
0.020,37.668,52.246,33.871,6.909,32.675,33.530,31.640,25.138
0.018,37.916,53.055,33.745,6.931,32.782,33.347,31.838,25.066
0.006,37.929,52.629,34.126,6.886,32.198,33.684,31.794,25.094
0.046,37.856,52.922,34.026,6.857,32.672,33.294,31.468,25.190
0.061,38.128,52.370,33.891,6.890,32.471,33.571,31.614,25.028
0.012,37.999,52.358,33.978,6.694,32.453,33.752,31.621,25.305
0.003,37.506,52.657,33.807,6.804,32.928,33.649,31.909,25.275
0.027,37.911,52.972,33.930,6.706,33.059,32.907,31.703,25.214
0.037,37.798,52.759,33.763,6.798,32.638,33.286,31.334,25.148
0.004,37.681,52.738,34.071,6.851,32.669,33.256,31.621,25.220
0.009,37.580,52.401,33.714,6.954,32.504,33.301,31.748,25.179
0.034,38.062,52.510,33.972,7.120,32.825,33.251,31.877,25.067
0.104,37.925,52.426,34.197,6.675,32.791,33.573,31.786,25.129
0.030,38.072,52.552,33.871,6.734,32.811,33.569,31.339,25.082
0.042,37.815,52.485,33.750,6.557,32.709,33.085,31.410,24.920
0.029,37.284,52.309,33.624,6.682,32.278,33.555,31.768,25.418
0.079,37.854,52.534,34.020,6.818,32.816,33.392,31.658,25.387
0.013,37.816,53.114,32.981,6.827,32.884,34.228,31.390,24.878
0.004,37.588,52.564,33.432,6.977,32.634,33.743,31.565,25.045
0.025,37.959,52.733,33.711,6.914,32.672,33.225,31.092,25.453
0.075,37.920,52.113,34.057,6.719,32.695,33.379,31.122,25.222
0.044,38.134,52.363,33.784,6.795,33.018,33.225,31.730,24.986
0.014,37.652,52.516,33.686,6.871,32.688,33.238,31.312,25.210
0.020,38.072,53.203,33.881,6.635,32.505,33.693,31.478,25.191
0.042,38.110,52.532,33.860,6.918,32.240,33.261,32.004,25.024
0.039,37.721,52.649,34.339,6.859,32.470,33.268,31.674,24.775
0.038,37.455,52.402,33.973,6.781,32.529,33.386,31.436,24.942
0.016,38.269,52.479,34.148,6.732,32.620,32.971,31.286,24.957
0.007,38.006,52.292,33.853,6.690,32.376,33.506,31.724,25.397
